Hour,Day_of_Week,Weather,Temperature,Road_Capacity,Accidents,Vehicles,Traffic_Level
18,6,0,24,1004,4,789,Medium
3,6,3,25,1831,0,266,Low
9,2,1,21,1431,4,1399,High
0,4,3,23,824,3,883,Medium
22,1,0,20,1078,4,1478,High
17,3,3,33,1260,2,262,Low
4,1,0,30,1698,1,1013,High
14,4,0,29,1350,2,602,Medium
16,4,0,21,1695,3,391,Low
2,5,1,30,1459,0,270,Low
11,5,3,19,1001,4,1077,High
1,1,1,30,833,0,940,Medium
0,3,3,15,783,3,1145,High
22,1,1,33,974,4,1286,High
20,4,2,19,1577,2,444,Low
16,4,0,21,1981,2,718,Medium
21,2,0,33,1943,3,592,Medium
15,5,1,36,1131,4,971,Medium
4,2,2,19,1202,2,1400,High
14,0,0,31,908,3,1427,High
2,4,3,36,1481,3,1110,High
6,2,1,22,1827,0,1351,High
10,1,0,15,1058,2,1418,High
9,5,0,16,721,4,1417,High
8,5,1,29,657,2,383,Low
13,3,1,34,847,2,446,Low
12,1,3,32,1682,2,523,Medium
1,3,3,25,1388,3,359,Low
2,2,0,39,1421,1,905,Medium
6,6,0,24,1758,1,821,Medium
20,0,1,38,1161,0,1124,High
17,1,0,38,904,2,265,Low
2,1,0,18,1780,1,1129,High
9,1,1,19,1176,0,453,Low
21,3,0,18,1088,3,482,Low
6,2,0,27,1057,2,1283,High
8,1,2,39,1404,4,317,Low
16,6,3,27,1570,3,622,Medium
10,1,1,32,1736,0,755,Medium
6,5,2,38,978,3,235,Low
23,0,3,16,986,4,730,Medium
13,5,3,30,1065,3,290,Low
18,5,3,15,1865,0,1440,High
3,0,2,33,1023,4,297,Low
5,6,2,23,1203,4,730,Medium
9,2,3,17,1529,3,737,Medium
6,5,0,39,1320,4,1251,High
12,2,0,21,1667,3,1446,High
13,5,2,24,1357,2,279,Low
3,4,2,15,1784,4,762,Medium
7,0,2,24,1084,3,813,Medium
4,5,3,35,1185,2,375,Low
0,4,0,23,731,4,721,Medium
3,3,2,29,769,2,622,Medium
2,4,2,29,1439,4,1323,High
8,1,1,17,1970,0,775,Medium
7,5,3,39,1373,0,730,Medium
0,4,1,19,1745,3,531,Medium
5,2,0,23,551,1,852,Medium
8,3,1,36,615,0,939,Medium
6,6,1,23,1037,1,1312,High
3,5,1,37,1040,2,710,Medium
12,1,3,21,1542,2,241,Low
16,6,0,38,1314,1,1084,High
1,4,1,37,1915,3,280,Low
4,6,3,26,1290,4,601,Medium
11,6,0,39,1117,1,306,Low
20,3,2,23,918,1,1334,High
7,6,1,20,808,1,1437,High
5,6,0,37,1363,1,705,Medium
7,5,1,16,685,1,1344,High
17,3,2,23,760,3,1357,High
2,1,0,31,1796,0,919,Medium
21,4,3,15,659,4,456,Low
11,3,0,33,1369,0,1153,High
2,3,3,20,1261,1,1403,High
21,0,0,19,723,0,1132,High
5,3,3,16,1779,3,1271,High
1,0,2,23,679,2,1096,High
22,4,2,28,519,0,218,Low
11,6,2,18,1131,4,1269,High
1,5,0,18,1991,3,650,Medium
5,5,2,35,1733,2,1097,High
16,4,1,29,557,3,1279,High
2,4,2,22,1616,1,940,Medium
1,2,3,18,1744,2,1315,High
22,6,3,30,1222,4,281,Low
19,4,3,35,1755,2,936,Medium
7,3,0,18,1887,4,278,Low
21,5,1,30,1114,1,482,Low
11,1,2,36,1061,4,1196,High
3,5,1,26,873,3,359,Low
4,0,1,30,1121,0,1379,High
12,5,3,33,1979,3,1087,High
14,2,3,22,587,3,667,Medium
22,6,3,20,1543,2,1052,High
15,4,0,24,1513,1,661,Medium
9,6,1,19,513,0,1053,High
22,4,1,32,632,4,316,Low
15,5,0,24,1557,2,563,Medium
11,1,0,24,1391,1,665,Medium
16,1,0,21,1731,0,383,Low
15,2,1,32,1722,3,859,Medium
11,0,1,15,1091,1,1389,High
7,5,3,21,1082,1,274,Low
19,4,3,35,1678,1,1025,High
2,5,1,15,1601,3,1495,High
15,2,3,29,1695,4,702,Medium
12,3,0,18,788,2,994,Medium
22,3,2,34,1512,4,786,Medium
18,2,3,24,1378,0,855,Medium
7,4,1,37,1943,2,899,Medium
21,6,3,23,506,0,834,Medium
4,2,3,16,1683,3,1043,High
19,4,3,28,739,4,1474,High
7,1,2,30,1946,1,1034,High
23,2,0,15,1035,2,1353,High
11,4,1,16,569,1,963,Medium
0,2,2,21,715,0,557,Medium
20,2,1,24,1627,1,891,Medium
19,6,1,36,1577,1,821,Medium
5,6,1,34,1305,3,681,Medium
21,4,2,15,829,3,1179,High
17,4,0,27,1347,4,1301,High
7,0,1,15,1726,0,1177,High
6,2,0,19,1811,3,489,Low
0,3,0,30,544,3,951,Medium
20,2,3,29,1328,4,222,Low
15,2,2,31,697,2,1005,High
11,4,2,37,1739,4,371,Low
5,2,3,30,1832,1,1034,High
19,5,3,27,1395,1,517,Medium
1,2,0,25,1958,3,1107,High
13,5,1,31,831,3,997,Medium
3,6,2,31,1195,4,1190,High
0,3,1,16,526,4,1054,High
22,4,1,27,1689,0,1416,High
17,2,3,28,817,1,880,Medium
12,5,1,25,1797,4,1115,High
1,5,0,24,1906,2,1341,High
8,6,3,17,864,0,1229,High
20,5,1,31,1626,4,1042,High
1,1,3,29,1459,3,682,Medium
8,0,0,23,872,4,331,Low
0,3,0,24,744,3,1316,High
10,6,1,22,1692,3,1060,High
2,6,3,35,1941,1,493,Low
19,2,1,27,1879,1,840,Medium
22,1,1,32,977,4,1199,High
3,2,3,19,624,4,591,Medium
17,2,1,20,1036,2,448,Low
22,4,0,31,1205,0,902,Medium
5,4,3,25,1925,0,1366,High
2,4,3,34,1030,4,1460,High
21,1,3,30,1285,1,486,Low
10,2,3,23,753,2,476,Low
14,0,1,16,620,0,586,Medium
21,3,1,19,1555,4,649,Medium
4,4,0,15,1160,1,490,Low
19,4,2,18,1560,1,1392,High
9,6,2,18,1865,1,642,Medium
11,2,0,36,1536,3,855,Medium
14,2,2,39,1706,1,1407,High
16,1,0,17,1788,4,1268,High
9,1,1,23,587,2,1026,High
5,4,3,36,1985,4,1491,High
17,2,3,37,545,1,675,Medium
12,0,1,26,1915,2,452,Low
2,3,3,24,1642,0,488,Low
23,2,3,16,1432,0,1435,High
9,6,2,25,1970,4,1199,High
13,2,1,24,1244,2,220,Low
5,5,2,36,1466,4,515,Medium
2,1,2,20,1262,2,763,Medium
15,6,3,32,1261,2,1456,High
6,3,3,16,1293,4,322,Low
19,4,1,16,1243,2,1073,High
13,6,3,24,1569,1,1159,High
8,2,3,30,1057,2,413,Low
14,4,1,26,1025,2,1038,High
20,2,3,15,1096,4,846,Medium
2,4,2,35,1339,0,1167,High
1,3,1,22,502,3,929,Medium
1,1,3,30,1551,2,799,Medium
2,3,0,32,1904,3,991,Medium
17,5,1,27,656,2,239,Low
13,0,1,29,1354,4,951,Medium
19,1,0,35,1010,4,1142,High
17,3,3,26,1856,2,847,Medium
9,5,3,22,1186,4,381,Low
1,0,1,24,1637,4,464,Low
21,5,1,28,1912,2,970,Medium
0,2,3,19,1773,0,1062,High
3,2,3,32,1070,2,631,Medium
13,4,2,33,1214,0,1419,High
0,1,1,29,1838,4,708,Medium
13,2,1,20,738,0,646,Medium
15,6,0,25,1757,4,727,Medium
21,5,2,35,802,0,1425,High
13,1,3,25,1106,0,1074,High
19,6,2,34,1490,2,1356,High
2,2,3,34,833,0,1362,High
2,4,3,35,612,4,868,Medium
8,3,2,32,861,2,1046,High
5,4,1,39,1300,0,269,Low
12,6,3,32,596,2,1015,High
20,0,2,24,515,3,1238,High
1,2,0,16,1055,2,1435,High
7,6,2,23,875,3,1283,High
20,0,0,28,1241,3,1475,High
1,0,3,33,889,2,645,Medium
3,5,2,24,1119,4,1225,High
14,1,2,37,1740,4,218,Low
3,5,0,18,1922,4,760,Medium
12,2,2,20,1783,1,1301,High
11,0,2,28,1323,3,671,Medium
12,6,3,18,819,2,227,Low
13,3,2,29,695,4,759,Medium
19,0,1,30,917,4,807,Medium
17,6,0,21,1998,2,1388,High
5,3,2,31,1106,3,657,Medium
10,5,0,33,1067,2,1144,High
1,5,0,33,1043,1,1399,High
22,1,0,31,730,1,1183,High
18,6,2,20,1383,2,1067,High
18,0,2,25,1020,3,1215,High
4,4,0,30,1202,4,228,Low
18,5,1,39,1723,1,868,Medium
1,5,0,22,1345,1,1025,High
9,1,1,25,1172,3,1015,High
1,3,0,21,520,1,478,Low
10,1,3,38,1834,1,482,Low
17,0,0,36,1087,3,1202,High
23,6,0,39,1397,2,504,Medium
14,2,2,33,1957,4,893,Medium
8,2,1,24,870,4,308,Low
22,6,3,23,577,1,523,Medium
18,3,1,18,1808,4,1429,High
8,5,3,37,1147,2,1457,High
2,3,0,29,639,1,657,Medium
20,5,2,27,1052,4,1410,High
8,5,2,39,1497,0,681,Medium
13,2,1,16,781,0,1121,High
18,3,2,16,1781,0,719,Medium
6,1,1,30,1883,0,1276,High
15,5,1,23,939,0,1422,High
15,4,3,27,769,1,590,Medium
0,4,1,17,1657,3,970,Medium
3,1,3,23,1245,3,1112,High
3,4,2,27,603,1,1395,High
6,0,1,35,1265,1,285,Low
7,5,1,36,594,2,757,Medium
16,1,0,16,1228,3,1057,High
4,3,1,22,979,0,1409,High
6,5,1,23,1279,1,1379,High
19,1,0,30,1764,0,865,Medium
19,2,0,16,512,3,1353,High
3,3,2,20,1670,4,1042,High
5,2,1,36,1100,4,1304,High
6,5,2,22,594,1,494,Low
17,3,2,19,792,2,468,Low
4,4,0,23,524,0,844,Medium
19,1,3,15,1795,1,734,Medium
2,5,2,23,1689,2,287,Low
6,0,3,24,1438,0,1124,High
21,3,1,37,1261,3,310,Low
13,3,0,18,1610,4,783,Medium
6,6,1,17,1153,2,1377,High
4,5,1,24,1484,0,968,Medium
21,5,0,29,1137,1,1379,High
4,2,1,25,990,0,437,Low
22,6,0,28,1664,1,533,Medium
1,4,3,20,1626,4,305,Low
20,2,1,26,1749,4,581,Medium
21,6,0,27,1074,0,888,Medium
5,2,2,31,793,0,460,Low
14,4,1,30,1395,1,854,Medium
20,6,3,17,1829,1,1019,High
9,6,0,16,1777,2,908,Medium
22,0,1,25,1703,2,675,Medium
23,2,1,23,539,2,1448,High
6,2,1,17,1275,0,1106,High
4,3,3,32,1019,2,754,Medium
0,4,0,34,1045,0,862,Medium
12,1,2,29,735,4,774,Medium
20,0,2,28,962,3,841,Medium
17,6,2,16,1751,4,662,Medium
12,6,0,31,982,0,1054,High
20,6,2,36,929,0,1437,High
20,0,3,22,1545,3,784,Medium
17,6,0,24,842,1,1142,High
4,6,1,32,1563,1,815,Medium
12,4,3,39,1696,1,357,Low
3,5,1,33,1962,2,471,Low
16,5,2,22,1702,1,1461,High
2,3,3,22,632,2,869,Medium
16,3,0,17,850,2,820,Medium
10,6,3,17,1005,1,720,Medium
20,4,1,26,583,1,258,Low
19,6,0,36,1492,3,903,Medium
22,3,3,31,1987,3,847,Medium
20,0,3,18,1329,2,1474,High
3,0,3,31,1360,3,1090,High
1,1,3,28,842,2,635,Medium
19,5,0,33,1803,0,345,Low
15,4,1,23,1365,2,1058,High
17,2,3,35,1786,2,1177,High
7,5,0,26,1689,3,444,Low
2,2,1,19,792,0,500,Medium
8,1,3,25,1749,4,637,Medium
19,1,1,34,1693,4,1067,High
5,6,1,17,1097,4,299,Low
9,3,0,35,1144,0,924,Medium
20,1,1,29,947,1,1013,High
9,1,0,28,1189,0,679,Medium
12,2,3,25,1501,3,614,Medium
16,3,1,34,1354,2,364,Low
8,1,1,22,1001,2,1173,High
16,5,2,18,1263,3,1344,High
23,1,3,26,1234,3,287,Low
8,3,3,22,1902,2,1440,High
8,6,2,20,1724,1,772,Medium
0,4,2,29,749,1,1013,High
1,3,0,26,1932,1,378,Low
15,2,0,30,1100,3,362,Low
0,4,1,30,624,2,792,Medium
9,5,1,35,612,2,1205,High
17,0,1,34,1480,2,1393,High
7,3,1,34,1660,0,500,Medium
20,6,0,18,649,0,573,Medium
10,2,3,25,1374,4,907,Medium
22,5,1,27,842,0,402,Low
1,4,3,23,1079,1,246,Low
7,5,1,18,1282,1,662,Medium
21,3,2,26,820,1,607,Medium
7,1,1,23,1321,1,1417,High
16,6,1,27,1031,4,626,Medium
14,3,1,30,1812,1,1129,High
16,0,0,20,991,3,516,Medium
22,3,2,24,1111,3,620,Medium
23,4,1,27,751,3,1492,High
12,4,1,21,1600,0,462,Low
18,3,3,33,1915,2,365,Low
4,4,2,38,1935,4,627,Medium
11,1,1,33,672,3,596,Medium
0,5,3,31,1374,3,1439,High
22,3,3,27,700,1,995,Medium
4,6,0,27,716,3,306,Low
7,1,3,35,875,1,297,Low
12,5,1,16,510,1,1453,High
7,6,0,24,1535,2,1480,High
22,6,0,36,1391,0,242,Low
10,6,1,27,934,1,441,Low
0,5,2,23,1317,1,294,Low
12,1,3,15,1896,2,387,Low
18,6,0,28,1796,1,584,Medium
23,6,2,30,1430,4,1018,High
2,2,1,34,1190,0,1390,High
23,3,3,29,1655,4,1348,High
16,5,3,15,1354,3,286,Low
4,5,0,31,1283,0,688,Medium
19,4,3,38,818,3,425,Low
20,5,3,27,1343,1,544,Medium
7,1,3,29,1120,2,717,Medium
13,5,3,30,1284,4,1254,High
3,2,1,30,1691,3,495,Low
10,3,2,16,896,1,613,Medium
19,3,1,31,1703,4,334,Low
14,5,1,25,1581,4,724,Medium
18,6,0,22,959,3,1208,High
6,0,3,34,560,1,203,Low
18,0,1,17,868,2,377,Low
18,6,3,26,1644,3,945,Medium
10,6,1,34,1218,4,458,Low
4,6,1,30,1045,4,851,Medium
4,1,0,28,1540,0,1288,High
21,0,2,30,995,1,1240,High
7,6,2,35,996,0,1423,High
9,1,1,31,1004,2,743,Medium
5,4,0,25,1468,3,1435,High
14,1,3,31,1838,4,634,Medium
15,0,3,33,1592,1,1496,High
16,5,1,36,660,4,489,Low
7,4,2,15,1217,0,1002,High
7,0,0,26,1668,0,682,Medium
8,1,2,29,1492,3,433,Low
1,2,3,32,1908,1,607,Medium
14,3,2,37,768,1,893,Medium
17,0,3,28,1977,3,1369,High
2,6,0,15,1198,0,761,Medium
16,1,0,27,1364,0,629,Medium
3,6,1,29,849,0,631,Medium
3,6,1,21,609,4,696,Medium
13,6,2,29,906,2,1182,High
8,6,0,34,1149,0,1312,High
8,6,0,24,550,2,1196,High
22,4,1,28,1926,2,1096,High
17,0,3,20,1999,1,1026,High
9,0,2,28,1610,3,1464,High
20,3,2,38,1591,4,977,Medium
3,1,1,39,1095,2,422,Low
11,2,0,36,1478,4,667,Medium
7,4,1,26,1565,1,768,Medium
1,1,1,25,1230,0,574,Medium
21,4,1,39,556,2,1335,High
12,0,1,34,1237,3,726,Medium
20,6,3,36,695,1,611,Medium
15,3,3,38,1585,4,468,Low
1,3,0,39,1786,0,825,Medium
10,5,1,33,611,4,1475,High
9,2,3,16,1264,3,1211,High
14,3,0,36,1210,2,649,Medium
16,6,1,34,1701,3,1001,High
7,0,2,15,1447,4,1021,High
17,2,3,22,525,4,454,Low
22,1,0,39,909,3,1491,High
8,6,2,28,1257,3,325,Low
7,6,1,23,1030,3,961,Medium
13,3,1,16,1840,0,998,Medium
17,2,1,39,1629,4,764,Medium
21,0,3,37,1248,1,655,Medium
19,5,0,19,1987,0,1290,High
19,4,2,37,745,0,1289,High
20,4,0,39,1604,0,1111,High
11,0,3,22,1161,1,1061,High
18,0,0,30,1408,3,816,Medium
13,4,3,36,895,4,599,Medium
16,5,1,30,1021,2,486,Low
23,2,2,27,1425,2,385,Low
20,4,1,34,763,4,483,Low
2,0,0,29,1289,1,849,Medium
22,3,1,15,1797,2,890,Medium
6,1,2,36,671,0,436,Low
16,5,1,17,764,2,1241,High
11,6,2,20,1549,4,1014,High
8,5,2,36,1992,0,1127,High
14,3,1,28,975,2,613,Medium
17,3,3,18,855,4,208,Low
20,6,0,32,1549,1,619,Medium
12,0,3,29,533,4,228,Low
20,4,3,23,763,1,547,Medium
7,2,1,32,1661,0,860,Medium
13,5,0,17,1315,4,775,Medium
7,6,0,24,1374,3,649,Medium
13,5,3,31,1253,3,579,Medium
6,3,1,21,1065,3,898,Medium
22,4,0,29,961,3,565,Medium
11,5,3,15,1691,3,1450,High
10,2,0,39,1154,1,1341,High
21,3,1,25,580,4,611,Medium
21,2,1,31,1256,0,1150,High
10,4,1,19,1369,3,555,Medium
21,5,0,21,1930,3,453,Low
12,1,2,33,1569,0,926,Medium
17,5,0,39,1098,0,880,Medium
1,4,2,38,1306,3,1304,High
20,5,1,29,1576,1,1269,High
14,6,3,17,1483,0,1272,High
19,5,2,29,1203,4,1009,High
17,0,1,19,975,4,672,Medium
14,5,1,37,1091,1,615,Medium
18,5,2,26,515,2,1178,High
22,2,3,34,1883,1,799,Medium
23,1,1,19,986,3,1344,High
11,2,2,17,1205,2,1226,High
12,2,3,23,1664,3,659,Medium
21,3,3,23,1119,4,1450,High
10,0,1,21,1518,0,278,Low
4,2,0,16,1276,3,974,Medium
0,6,0,37,946,4,1294,High
23,4,1,37,789,1,1095,High
2,6,3,35,708,3,1420,High
21,4,1,30,1998,4,257,Low
18,5,2,23,912,0,823,Medium
22,3,0,27,1176,3,247,Low
6,0,2,33,1950,4,1408,High
11,6,1,34,1894,3,1038,High
14,0,1,31,1163,0,364,Low
4,6,3,20,789,3,529,Medium
14,5,3,18,1955,3,1344,High
7,4,3,15,1791,4,412,Low
9,1,2,32,650,2,706,Medium
15,3,3,33,1778,3,1115,High
7,6,1,23,1876,2,1000,High
0,6,3,27,1900,1,367,Low
11,5,0,22,1354,3,1194,High
4,3,3,37,1881,2,1029,High
2,4,2,27,1107,1,1195,High
0,4,0,29,869,4,1186,High
3,6,0,25,1750,3,986,Medium
7,1,0,26,1204,4,626,Medium
2,1,2,28,1826,1,1444,High
9,0,1,18,1325,4,1215,High
1,3,3,15,1504,4,1233,High
10,3,0,38,1912,0,1343,High
9,4,0,18,876,1,1470,High
20,0,0,33,1472,4,1444,High
13,5,1,23,617,2,972,Medium
6,3,1,24,1528,1,1281,High
1,0,2,18,943,0,1351,High
8,0,1,34,1875,3,916,Medium
15,6,3,23,1254,4,285,Low
12,4,2,27,1139,2,303,Low
8,0,2,26,623,0,342,Low
19,1,3,25,1157,1,404,Low
3,1,3,26,1800,4,840,Medium
21,2,3,32,1321,0,1261,High
9,4,2,26,1917,0,1275,High
21,6,2,30,1163,2,200,Low
11,5,2,19,859,3,210,Low
16,2,3,34,1122,3,946,Medium
13,1,3,39,1992,3,1437,High
13,6,0,26,1580,1,1155,High
1,2,1,35,1774,0,954,Medium
20,4,0,39,1418,1,717,Medium
19,6,3,25,1673,0,1231,High
10,4,2,23,951,2,204,Low
15,0,3,32,1685,2,893,Medium
18,3,1,39,619,1,311,Low
22,0,0,17,1081,1,1203,High
5,4,0,34,1874,2,472,Low
23,6,2,31,598,4,621,Medium
18,1,0,28,1690,3,464,Low
4,5,0,15,1013,3,411,Low
3,1,3,31,1163,2,1301,High
14,6,0,39,900,3,981,Medium
3,0,0,22,864,4,865,Medium
19,5,0,19,1849,4,1444,High
9,6,2,19,1080,0,568,Medium
23,4,2,23,1120,1,1157,High
21,1,3,17,1327,3,546,Medium
2,4,0,33,746,4,224,Low
4,5,2,37,933,1,1175,High
5,5,2,23,1616,1,616,Medium
20,1,3,36,1791,0,714,Medium
21,4,1,32,1114,1,414,Low
7,2,0,30,1442,1,1335,High
6,4,2,15,1462,2,1153,High
20,5,3,16,1123,0,1113,High
9,4,3,28,820,0,627,Medium
5,6,3,28,1355,3,932,Medium
13,0,2,15,561,1,898,Medium
3,2,0,39,799,3,415,Low
12,3,1,30,902,4,612,Medium
19,6,0,29,1454,1,579,Medium
16,0,3,29,1826,4,431,Low
22,3,3,26,752,2,1034,High
6,1,1,30,977,1,457,Low
3,3,0,28,1892,3,1479,High
13,6,3,38,659,3,602,Medium
2,4,3,29,1460,1,623,Medium
23,6,0,37,1689,3,969,Medium
4,3,3,29,704,1,264,Low
15,5,0,33,1790,0,389,Low
22,0,3,22,1661,3,1149,High
19,0,0,16,1891,1,372,Low
3,3,1,16,1966,1,958,Medium
23,0,3,24,1357,3,827,Medium
23,5,1,17,1259,0,760,Medium
1,6,3,37,1220,3,1450,High
17,0,3,31,1540,1,1200,High
18,3,2,22,567,0,600,Medium
18,2,0,37,632,4,837,Medium
16,2,1,18,1418,2,1148,High
13,1,1,28,929,3,412,Low
18,0,1,35,807,1,252,Low
21,6,0,24,1149,0,823,Medium
23,3,2,15,1697,0,951,Medium
12,0,1,18,911,4,861,Medium
11,4,0,15,596,3,338,Low
5,5,3,31,1677,0,617,Medium
20,0,1,31,1765,4,342,Low
3,0,1,21,1827,1,708,Medium
18,2,2,37,1808,4,849,Medium
15,5,1,34,1550,3,685,Medium
12,3,1,29,1925,4,1191,High
3,0,3,27,1883,0,742,Medium
22,2,0,16,1583,0,492,Low
16,1,0,33,701,2,870,Medium
22,5,2,38,1261,4,1037,High
0,2,3,27,1373,1,1237,High
17,2,0,38,1080,3,833,Medium
19,6,3,25,869,2,471,Low
16,2,0,36,1032,4,1248,High
14,6,3,29,1675,1,521,Medium
10,0,2,24,1625,2,1005,High
21,0,1,23,1398,0,1326,High
12,1,2,23,1106,3,1082,High
0,4,0,34,1969,4,1263,High
16,4,2,15,1372,1,434,Low
5,4,1,31,1752,0,1031,High
3,6,2,26,1648,2,1312,High
19,5,0,24,1269,3,1323,High
15,5,0,19,1333,2,343,Low
14,1,2,32,1498,2,1305,High
14,5,1,29,1437,1,788,Medium
5,4,2,20,735,0,428,Low
14,4,1,21,661,4,1420,High
13,2,3,31,1053,1,473,Low
10,5,1,20,1287,3,789,Medium
6,0,3,22,1876,2,852,Medium
8,0,2,26,1591,3,782,Medium
15,2,1,35,1696,1,1167,High
4,2,3,28,1058,1,571,Medium
19,2,3,26,760,4,1303,High
9,0,3,37,716,2,1458,High
17,4,0,24,1647,1,1018,High
2,2,2,36,1304,3,771,Medium
12,1,3,34,1685,4,744,Medium
10,6,1,29,700,3,326,Low
16,2,3,21,1977,2,932,Medium
21,6,0,23,901,4,616,Medium
12,3,2,24,1985,4,837,Medium
5,2,0,24,774,4,240,Low
16,0,0,30,705,0,986,Medium
12,5,0,21,1563,4,496,Low
18,2,1,19,1796,3,241,Low
20,5,2,37,1366,3,831,Medium
18,3,2,17,592,2,232,Low
9,1,1,32,1565,1,1499,High
2,5,2,25,1988,1,864,Medium
13,6,0,29,878,0,1313,High
18,4,2,35,1630,4,815,Medium
4,2,1,34,1851,0,1147,High
4,3,0,19,564,2,359,Low
19,3,1,38,864,2,657,Medium
16,5,3,26,1320,1,598,Medium
20,1,0,18,1547,2,1314,High
9,0,0,29,1039,4,780,Medium
4,2,2,23,1585,3,419,Low
3,3,0,21,990,2,578,Medium
5,1,1,24,1796,0,1129,High
3,4,2,37,728,4,1163,High
6,3,3,27,1543,2,1369,High
6,1,1,22,502,2,432,Low
17,0,3,26,1944,4,1121,High
2,0,3,36,1410,2,433,Low
0,3,3,38,806,3,925,Medium
23,6,0,33,931,1,566,Medium
3,3,1,15,635,4,680,Medium
5,5,1,30,1014,0,789,Medium
8,2,0,36,692,2,1318,High
21,1,2,31,1938,1,415,Low
13,3,3,39,1372,0,924,Medium
11,2,1,32,1641,0,911,Medium
19,5,0,25,1165,3,1184,High
23,2,3,32,708,1,1358,High
3,3,2,21,1451,4,1306,High
20,0,2,32,1557,1,590,Medium
23,1,3,22,1148,1,1270,High
11,1,2,20,1841,0,591,Medium
9,0,1,21,619,3,917,Medium
21,6,1,37,1126,3,584,Medium
6,3,1,36,1024,1,580,Medium
2,1,2,24,1268,1,1300,High
22,3,1,25,1612,2,1482,High
13,5,0,39,1011,0,803,Medium
23,3,1,27,546,4,1133,High
9,2,1,23,1271,4,598,Medium
15,0,2,21,1239,3,299,Low
15,6,1,23,1021,0,582,Medium
21,3,3,27,1807,3,906,Medium
9,6,0,17,1900,4,1415,High
12,6,2,17,633,1,209,Low
5,5,0,15,747,0,463,Low
11,4,3,35,1841,0,1491,High
8,0,2,34,935,2,1031,High
12,6,2,16,1699,1,829,Medium
3,1,1,39,1185,1,961,Medium
23,2,0,17,1085,3,394,Low
10,1,3,29,850,0,761,Medium
19,5,3,38,642,3,296,Low
17,5,2,20,1466,1,661,Medium
10,1,1,27,1303,2,957,Medium
20,0,2,35,1921,0,286,Low
3,1,2,15,1217,1,1190,High
17,3,2,34,1142,2,276,Low
0,1,2,33,1892,4,1369,High
6,2,3,15,1000,1,860,Medium
5,2,3,35,869,4,1334,High
14,4,2,36,1905,3,964,Medium
17,2,2,16,1609,4,877,Medium
23,1,1,29,1286,1,990,Medium
10,2,2,28,1238,4,782,Medium
